Pos,Name,BV,SV,Team,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
G,Leno,4.6,4.6,Arsenal,0,0,1,0.046,1,0.037,1,0.043,2,0.086,3,0.124,2,0.08,1,0.045
G,RÃºnarsson,4,4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willian,6.3,6.3,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Aubameyang,10.1,10.1,Arsenal,79,3.565,78,5.732,77,3.74,73,4.076,74,4.857,75,4.662,74,4.373,74,4.853
D,CÃ©dric,4.2,4.2,Arsenal,2,0.054,3,0.137,5,0.158,5,0.196,6,0.25,4,0.152,6,0.219,7,0.308
F,Lacazette,8.3,8.3,Arsenal,68,2.833,65,4.238,61,2.742,59,3.009,57,3.376,55,3.108,58,3.123,60,3.567
M,Xhaka,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.105
D,MarÃ­,4.2,4.2,Arsenal,0,0,2,0.083,3,0.076,6,0.214,4,0.149,5,0.167,5,0.154,8,0.326
D,BellerÃ­n,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Chambers,4.2,4.2,Arsenal,0,0,0,0,1,0.033,1,0.04,1,0.043,4,0.16,2,0.076,2,0.09
D,Kolasinac,4.3,4.3,Arsenal,0,0,0,0,0,0,1,0.038,1,0.04,2,0.076,2,0.072,2,0.086
M,Elneny,4.5,4.5,Arsenal,6,0.259,8,0.384,8,0.343,8,0.351,10,0.461,11,0.488,10,0.439,10,0.459
M,Maitland-Niles,5.3,5.3,Arsenal,29,1.057,18,0.842,24,0.929,24,0.979,22,0.96,25,1.029,29,1.13,26,1.121
D,Holding,4.2,4.2,Arsenal,0,0,2,0.102,3,0.103,5,0.204,6,0.248,10,0.361,8,0.276,12,0.512
M,Partey,5,5,Arsenal,59,1.648,76,2.966,77,2.243,77,2.499,75,2.642,72,2.439,72,2.349,72,2.638
D,Tierney,4.8,4.8,Arsenal,20,0.503,55,2.938,57,1.64,55,2.329,52,2.34,52,2.077,50,1.845,53,2.558
M,PÃ©pÃ©,7,7,Arsenal,35,1.714,41,3.034,38,1.943,43,2.498,48,3.137,43,2.699,45,2.655,43,2.871
M,Torreira,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,5.8,5.8,Newcastle,48,2.095,47,1.748,49,2.327,49,2.191,49,1.856,54,1.76,46,1.594,50,1.885
F,Nketiah,5.4,5.4,Arsenal,0,0,0,0,0,0,1,0.06,1,0.067,2,0.141,2,0.127,0,0
M,Smith Rowe,5.8,5.8,Arsenal,75,2.725,70,3.811,72,2.777,70,3.076,66,3.271,67,3.139,67,2.907,63,3.181
M,Saka,6.3,6.3,Arsenal,77,2.942,71,4.306,73,2.981,71,3.366,69,3.694,68,3.459,68,3.282,67,3.664
D,Gabriel,5.1,5.1,Arsenal,89,1.598,86,4.162,84,2.128,82,3.166,80,3.252,78,2.802,82,2.667,74,3.308
D,Mavropanos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Guendouzi,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,5.2,5.2,Arsenal,9,0.471,13,0.947,13,0.706,14,0.868,14,0.952,17,1.101,15,0.947,19,1.273
D,Saliba,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Steer,4,4,Aston Villa,1,0.042,0,0,1,0.036,1,0.04,1,0.036,2,0.085,3,0.131,0,0
M,Hourihane,4.9,4.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,MartÃ­nez,5.5,5.5,Aston Villa,89,3.76,88,3.49,87,3.135,86,3.481,86,3.088,86,3.664,84,3.702,87,3.262
D,Engels,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,TraorÃ©,5.7,5.7,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Grealish,7.7,7.7,Man City,65,4.698,67,4.555,65,4.189,64,4.602,64,4.466,62,4.649,62,4.427,59,4.222
M,Sanson,5,5,Aston Villa,13,0.641,17,0.812,14,0.624,13,0.664,12,0.532,10,0.528,13,0.688,15,0.67
M,McGinn,5.8,5.8,Aston Villa,83,2.87,81,2.657,76,2.176,76,2.764,72,2.015,70,2.649,68,2.675,68,2.072
D,Hause,4.4,4.4,Aston Villa,3,0.095,6,0.182,9,0.197,7,0.242,12,0.221,14,0.57,13,0.555,17,0.509
M,TrÃ©zÃ©guet,5.4,5.4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mings,4.9,4.9,Aston Villa,86,2.999,84,2.447,81,1.353,81,2.634,78,0.928,76,2.805,75,3.042,73,1.804
D,Targett,4.7,4.7,Aston Villa,88,3.156,84,2.551,85,1.476,84,2.819,80,1.029,81,3.069,81,3.357,76,1.955
F,Watkins,7.3,7.3,Aston Villa,70,3.369,67,3.057,63,2.401,62,3.201,52,1.962,51,2.66,56,3.049,55,2.154
M,Nakamba,4.5,4.5,Aston Villa,65,2.072,51,1.649,57,1.639,53,1.751,51,1.458,50,1.716,44,1.582,48,1.477
M,El Ghazi,5.6,5.6,Aston Villa,42,2.598,41,2.404,44,2.08,35,2.327,39,1.817,40,2.686,43,3.005,39,1.943
M,BuendÃ­a,6.2,6.2,Aston Villa,72,3.491,70,3.181,68,2.561,65,3.332,64,2.361,61,3.276,60,3.367,62,2.492
D,Cash,5.1,5.1,Aston Villa,87,3.293,85,2.68,81,1.522,80,2.861,80,1.086,77,3.109,77,3.402,77,2.048
D,Konsa,4.9,4.9,Aston Villa,85,3.12,84,2.558,80,1.456,78,2.659,77,1.031,78,2.942,75,3.137,70,1.851
D,Guilbert,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Wesley,5.4,5.4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Samatta,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Davis,4.4,4.4,Aston Villa,0,0,2,0.106,3,0.145,3,0.173,4,0.201,2,0.116,3,0.177,4,0.199
M,Douglas Luiz,4.5,4.5,Aston Villa,29,0.912,39,1.195,48,1.286,55,1.751,67,1.719,69,2.294,70,2.4,68,1.925
M,Ramsey,4.5,4.5,Aston Villa,53,2.186,53,2.07,48,1.688,49,2.081,42,1.476,47,2.054,48,2.165,47,1.702
D,Young,4.7,4.7,Aston Villa,5,0.176,9,0.337,10,0.31,11,0.459,13,0.375,16,0.789,13,0.656,16,0.613
