Pos,Name,BV,Team,12_xMins,12_Pts
1,Leno,4.6,1,0,0
1,Rúnarsson,4,1,0,0
3,Willian,6.3,1,0,0
4,Aubameyang,10.1,1,79,3.565
2,Cédric,4.2,1,2,0.054
4,Lacazette,8.3,1,68,2.833
3,Xhaka,4.9,1,0,0
2,Marí,4.2,1,0,0
2,Bellerín,4.8,1,0,0
2,Chambers,4.2,1,0,0
2,Kolasinac,4.3,1,0,0
3,Elneny,4.5,1,6,0.259
3,Maitland-Niles,5.3,1,29,1.057
2,Holding,4.2,1,0,0
3,Partey,5,1,59,1.648
2,Tierney,4.8,1,20,0.503
3,Pépé,7,1,35,1.714
3,Torreira,4.5,1,0,0
3,Willock,5.8,2,48,2.095
4,Nketiah,5.4,1,0,0
3,Smith Rowe,5.8,1,75,2.725
3,Saka,6.3,1,77,2.942
2,Gabriel,5.1,1,89,1.598
2,Mavropanos,4.5,1,0,0
3,Guendouzi,4.5,1,0,0
3,Martinelli,5.2,1,9,0.471
2,Saliba,4.5,1,0,0
1,Steer,4,3,1,0.042
3,Hourihane,4.9,3,0,0
1,Martínez,5.5,3,89,3.76
2,Engels,4.5,3,0,0
3,Traoré,5.7,3,0,0
3,Grealish,7.7,4,65,4.698
3,Sanson,5,3,13,0.641
3,McGinn,5.8,3,83,2.87
2,Hause,4.4,3,3,0.095
3,Trézéguet,5.4,3,0,0
2,Mings,4.9,3,86,2.999
2,Targett,4.7,3,88,3.156
4,Watkins,7.3,3,70,3.369
3,Nakamba,4.5,3,65,2.072
3,El Ghazi,5.6,3,42,2.598
3,Buendía,6.2,3,72,3.491
2,Cash,5.1,3,87,3.293
2,Konsa,4.9,3,85,3.12
2,Guilbert,4.5,3,0,0
4,Wesley,5.4,3,0,0
4,Samatta,5.5,3,0,0
4,Davis,4.4,3,0,0
3,Douglas Luiz,4.5,3,29,0.912
3,Ramsey,4.5,3,53,2.186
2,Young,4.7,3,5,0.176
3,Lallana,5.4,5,69,2.633
1,Steele,4,5,84,3.415
3,Groß,5.9,5,51,2.641
2,Duffy,4.4,5,77,2.866
3,Pröpper,4.5,5,0,0
2,Burn,4.4,5,21,0.822
2,Dunk,5,5,88,3.073
3,March,5.3,5,42,1.773
2,Webster,4.4,5,23,0.857
2,Veltman,4.4,5,42,1.495
4,Maupay,6.5,5,80,3.937
3,Trossard,6.5,5,80,3.788
1,Ryan,4.5,5,0,0
3,Jahanbakhsh,5.5,5,0,0
2,White,4.4,1,88,1.476
2,Bernardo,4,5,0,0
1,Sánchez,4.6,5,0,0
3,Bissouma,4.4,5,84,2.474
2,Lamptey,4.4,5,66,2.577
4,Connolly,5.3,5,17,0.978
3,Alzate,4.8,5,0,0
3,Mac Allister,5.4,5,28,1.389
3,Moder,4.5,5,9,0.44
2,Jansson,4.7,6,88,3.026
3,Nørgaard,5,6,84,2.609
4,Toney,6.7,6,85,4.609
3,Fosu,5.1,6,5,0.268
1,Raya,4.5,6,0,0
3,Canós,5.5,6,76,3.222
3,Dasilva,5.3,6,0,0
2,Henry,4.5,6,86,3.103
3,Janelt,5,6,70,2.387
3,Ghoddos,5.3,6,38,1.784
3,Jensen,4.9,6,16,0.792
2,Goode,3.9,6,10,0.391
4,Forss,5.3,6,15,0.917
2,Roerslev,4.3,6,17,0.722
2,Sørensen,4.3,6,0,0
2,Pinnock,4.7,6,88,3.288
1,Balcombe,4,6,0,0
